"","medal","beer_name","brewery","city","state","category","year"
"534","Silver","Triad","IMBIB Custom Brews","Reno","NV","Belgian-Style Lambic or Sour Ale",2018
"535","Bronze","I Am Only Memories","Orpheus Brewing","Atlanta","GA","Belgian-Style Lambic or Sour Ale",2018
"536","Gold","Midwatch","Figurehead Brewing Co.","Seattle","WA","Belgian-Style Strong Specialty Ale",2018
"537","Bronze","Sol Hominis (The Sun Of Man)","Save the World Brewing Co.","Marble Falls","TX","Belgian-Style Strong Specialty Ale",2018
"538","Gold","Tripel Carmel-ite","Flix Brewhouse - Carmel","Carmel","IN","Belgian-Style Tripel",2018
"539","Silver","Belgian Tripel","Village Idiot Brewing Co.","Mount Holly","NJ","Belgian-Style Tripel",2018
"540","Bronze","Neighbor Girl","Paradigm Shift Brewing","Massillon","OH","Belgian-Style Tripel",2018
"541","Gold","BiC3=A9re Blanche","Pedal Haus Brewery","Tempe","AZ","Belgian-Style Witbier",2018
"542","Silver","Optimal Wit","Port City Brewing Co.","Alexandria","VA","Belgian-Style Witbier",2018
"543","Bronze","Allagash White","Allagash Brewing Co.","Portland","ME","Belgian-Style Witbier",2018
"544","Gold","Baywindow","10 Barrel Brewing Co.","Bend","OR","Berliner-Style Weisse",2018
"545","Silver","Germophile","Rowley Farmhouse Ales","Santa Fe","NM","Berliner-Style Weisse",2018
"546","Silver","New Kids on Maibock","Independent Brewing Co.","Bel Air","MD","Bock",2018
"547","Gold","Bohemian Pilsner","Gordon Biersch Brewery Restaurant - Tysons Corner","Broomfield","CO","Bohemian-Style Pilsener",2018
"548","Silver","Pompey's Pilsner","Lewis & Clark Brewing Co.","Helena","MT","Bohemian-Style Pilsener",2018
"549","Bronze","Bird Park","North Park Beer Co.","San Diego","CA","Bohemian-Style Pilsener",2018
"550","Gold","C'mon Sunshine","Birds Fly South Ale Project","Greenville","SC","Brett Beer",2018
"551","Bronze","Touch of Brett Mandarina","Alesong Brewing & Blending","Eugene","OR","Brett Beer",2018
"552","Gold","Maduro Brown Ale","Cigar City Brewing","Tampa","FL","Brown Porter",2018
"553","Silver","Brown Claw","Kern River Brewing Co.","Kernville","CA","Brown Porter",2018
"554","Bronze","Knee-Knocker Porter","Crow Hop Brewing Co.","Loveland","CO","Brown Porter",2018
"555","Gold","White Legs Jalapeno Wheat","Tribute Brewing Co.","Eagle River","WI","Chili Beer",2018
"556","Gold","Coco for Coxness","Copperpoint Brewing Co.","Boynton Beach","FL","Chocolate Beer",2018
"557","Bronze","Chocolate Macadamia Nut Stout","Kilowatt Brewing","San Diego","CA","Chocolate Beer",2018
"558","Gold","Pale Ale","Omission Brewing Co.","Portland","OR","Classic English-Style Pale Ale",2018
"559","Silver","MacTarnahanE2=80=99s Amber Ale<=/","Portland Brewing Co.","Portland","OR","Classic English-Style Pale Ale",2018
"560","Bronze","Prickly Pear","Lewis & Clark Brewing Co.","Helena","MT","Classic English-Style Pale Ale",2018
"561","Gold","Shooter McMunn's","Lost Rhino Brewing Co.","Ashburn","VA","Classic Irish-Style Dry Stout",2018
"562","Silver","It's My Island","Pocock Brewing Co.","Santa Clarita","CA","Classic Irish-Style Dry Stout",2018
"563","Gold","Saison","Bent Paddle Brewing Co.","Duluth","MN","Classic Saison",2018
"564","Silver","One Arm Farmhouse Ale","Hobbs Tavern & Brewing Co.","West Ossipee","NH","Classic Saison",2018
"565","Bronze","Hayshaker","Gunwhale Ales","Costa Mesa","CA","Classic Saison",2018
"566","Gold","Coffee Cream Ale","Kiitos Brewing","Salt Lake City","UT","Coffee Beer",2018
"567","Silver","Mystery Airship 4.0: Temple Cascara Golden Ale","New Helvetia Brewing Co.","Sacramento","CA","Coffee Beer",2018
"568","Bronze","First Call","Modist Brewing Co.","Minneapolis","MN","Coffee Beer",2018
"569","Gold","Speargun","Snake River Brewing Co.","Jackson","WY","Coffee Stout or Porter",2018
"570","Silver","Breakfast Stout","Founders Brewing Co.","Grand Rapids","MI","Coffee Stout or Porter",2018
"571","Bronze","Udder Chaos","RAM Restaurant & Brewery - Seattle","Seattle","WA","Coffee Stout or Porter",2018
"572","Gold","TransAtlantique Kriek","New Belgium Brewing Co. - Ft. Collins","Fort Collins","CO","Collab",2018
"573","Silver","Pixie Dusted","Firestone Walker Barrelworks","Buellton","CA","Collab",2018
"574","Bronze","Mocha Hipster Bomb","Quarter Celtic Brewpub","Albuquerque","NM","Collab",2018
"575","Gold","Iron Horse Lager","Great American Restaurants - Sweetwater Tavern Centreville","Centreville","VA","Dark Lager",2018
"576","Silver","The Bennie","Granite City Food & Brewery","Olathe","KS","Dark Lager",2018
"577","Bronze","Nighthawk","Enegren Brewing Co.","Moorpark","CA","Dark Lager",2018
"578","Gold","Grandpa Tractor","Barley Forge Brewing","Costa Mesa","CA","Dortmunder or German-Style Oktoberfest",2018
"579","Silver","Freiheit Oktoberfest Wiesn","Wayfinder Beer","Portland","OR","Dortmunder or German-Style Oktoberfest",2018
"580","Bronze","Figtoberfest","Figueroa Mountain Brewing - Westlake Village","Westlake Village","CA","Dortmunder or German-Style Oktoberfest",2018
"581","Gold","Midwest Red IPA","Masthead Brewing Co.","Cleveland","OH","Double Hoppy Red Ale",2018
"582","Silver","Roundhouse","Bell's Eccentric Cafe","Kalamazoo","MI","Double Hoppy Red Ale",2018
"583","Bronze","Bad Polaroid","Werk Force Brewing Co.","Plainfield","IL","Double Hoppy Red Ale",2018
"584","Gold","Get Up Offa That Brown","Golden Road Brewing - Los Angeles","Los Angeles","CA","English-Style Brown Ale",2018
"585","Silver","My Brown Eyed Girl","Thornapple Brewing Co.","Grand Rapids","MI","English-Style Brown Ale",2018
"586","Bronze","No. 3 Brown","The Freehouse","Minneapolis","MN","English-Style Brown Ale",2018
"587","Gold","Castillo IPA","Alaro Craft Brewery","Sacramento","CA","English-Style India Pale Ale",2018
"588","Silver","Silverspot IPA","Pelican Brewing Co.","Pacific City","OR","English-Style India Pale Ale",2018
"589","Bronze","Hoppy Poppy IPA","Figueroa Mountain Brewing","Buellton","CA","English-Style India Pale Ale",2018
"590","Silver","Hold The Reins","Brink Brewing Co.","Cincinnati","OH","English-Style Mild Ale",2018
"591","Gold","Liquid AC","Karl Strauss Brewing Co. - La Jolla","La Jolla","CA","English-Style Summer Ale",2018
"592","Silver","Provider","Steel Toe Brewing","St. Louis Park","MN","English-Style Summer Ale",2018
"593","Bronze","Zest A Peel","Triple C Brewing","Charlotte","NC","English-Style Summer Ale",2018
"594","Gold","Feral Brute","Firestone Walker Barrelworks","Buellton","CA","Experimental Beer",2018
"595","Silver","Terroir Pinot Noir","Alesong Brewing & Blending","Eugene","OR","Experimental Beer",2018
"596","Bronze","Chips & Salsa Cream Ale","Cogstone Brewing Co.","Colorado Springs","CO","Experimental Beer",2018
"597","Gold","Dissent","Steel Toe Brewing","St. Louis Park","MN","Export Stout",2018
"598","Silver","Malpais Stout","La Cumbre Brewing Co.","Albuquerque","NM","Export Stout",2018
"599","Bronze","Shut Up & Adore Me","Morgan Territory Brewing","Tracy","CA","Export Stout",2018
"600","Gold","Happy Amber","MadTree Brewing 2.0","Cincinnati","OH","Extra Special Bitter",2018
"601","Silver","ESB","Hillman Beer","Asheville","NC","Extra Special Bitter",2018
"602","Bronze","Bull Kelp ESB","San Juan Island Brewing Co.","Friday Harbor","WA","Extra Special Bitter",2018
"603","Gold","Cool for the Summer","Lakes &amp; Legends Brewing Co.","Minneapolis","MN","Field Beer",2018
"604","Silver","Coco PiC3=B1a Gose","Coastal Empire Beer Co.","Savannah","GA","Field Beer",2018
"605","Bronze","Hawaiian Lion Toasted Coconut & Coffee Porter","Big Top Brewing Co.","Sarasota","FL","Field Beer",2018
"606","Silver","Purple Line","Smylie Brothers Brewing Co.","Evanston","IL","Fruit Wheat Beer",2018
"607","Bronze","Cherry Wheat","Sierra Blanca Brewing Co.","Moriarty","NM","Fruit Wheat Beer",2018
"608","Gold","Pink Passionfruit Sour","BearWaters Brewing Co.","Canton","NC","Fruited American-Style Sour Ale",2018
"609","Bronze","Flaming Fury","Captain Lawrence Brewing Co.","Elmsford","NY","Fruited American-Style Sour Ale",2018
"610","Gold","R=C3=A9serve Dor=C3=A9e de P=C3=AAche","Wooden Robot","Charlotte","NC","Fruited Wood- and Barrel-Aged Sour Beer",2018
"611","Bronze","Zoned AG Golden Raspberry","Corralitos Brewing Co.","Watsonville","CA","Fruited Wood- and Barrel-Aged Sour Beer",2018
"612","Silver","Little Red Cap","Grimm Brothers Brewhouse","Loveland","CO","German-Style Altbier",2018
"613","Bronze","Alt 1848","Utepils Brewing Co.","Minneapolis","MN","German-Style Altbier",2018
"614","Gold","Smooth Like Jazz","Revelry Brewing Co.","Charleston","SC","German-Style Doppelbock or Eisbock",2018
"615","Silver","Delaminator Doppelbock","Rip Current Brewery","San Marcos","CA","German-Style Doppelbock or Eisbock",2018
"616","Bronze","St. Nigels' Doppelbock","Front Range Brewing Co.","Lafayette","CO","German-Style Doppelbock or Eisbock",2018
"617","Gold","Colorado KC3=B6lsch","Steamworks Brewing Co.","Durango","CO","German-Style Koelsch",2018
"618","Silver","Kascadia","54C2=B0 40' Br=ewing Co.","Washougal","WA","German-Style Koelsch",2018
"619","Bronze","Veedels BrC3=A4u","Crooked Lane Brewing Co.","Auburn","CA","German-Style Koelsch",2018
"620","Gold","Oktoberfest","Rahr & Sons Brewing Co.","Fort Worth","TX","German-Style Maerzen",2018
"621","Silver","Oktoberfest","RAM Restaurant and Brewery - Lakewood","Lakewood","WA","German-Style Maerzen",2018
"622","Bronze","Oktoberfest","Oak Highlands Brewery","Dallas","TX","German-Style Maerzen",2018
"623","Gold","Netflix and Pils","Cannonball Creek Brewing Co.","Golden","CO","German-Style Pilsener",2018
"624","Silver","Pilsner","pFriem Family Brewers","Hood River","OR","German-Style Pilsener",2018
"625","Bronze","Pilsner","Ardent Craft Ales","Richmond","VA","German-Style Pilsener",2018
"626","Silver","Alviso Mills Hefeweizen","Santa Clara Valley Brewing","San Jose","CA","German-Style Wheat Ale",2018
"627","Bronze","Doppel BLUR","Circle Brewing Co.","Austin","TX","German-Style Wheat Ale",2018
"628","Gold","Puckerberry","High Hops Brewery","Windsor","CO","Gluten-Free Beer",2018
"629","Silver","Aurochs Blonde Ale","Aurochs Brewing Co.","Emsworth","PA","Gluten-Free Beer",2018
"630","Bronze","Dark Ale","Ground Breaker Brewing","Portland","OR","Gluten-Free Beer",2018
"631","Silver","1956 Golden Ale","Bootstrap Brewing Co.","Niwot","CO","Golden or Blonde Ale",2018
"632","Gold","Two of Tarts","Upland Brewing Co.","Bloomington","IN","Gose",2018
"633","Silver","Salty by Nature","Root Down Brewing Co.","Phoenixville","PA","Gose",2018
"634","Bronze","Brewer's Day Off","D9 Brewing Co.","Cornelius","NC","Gose",2018
"635","Gold","Pendragon","Royal Docks Brewhouse and Cannery","Massillon","OH","Herb and Spice Beer",2018
"636","Silver","Hazelnut Crunch","North By Northwest Restaurant and Brewery - Slaughter","Austin","TX","Herb and Spice Beer",2018
"637","Gold","Pushing Trees","Central Standard Brewing","Wichita","KS","Historical Beer",2018
"638","Silver","The BIG Lubelski","Divine Barrel Brewing","Charlotte","NC","Historical Beer",2018
"639","Gold","Belgian Honey Blonde","No Clue Craft Brewery","Rancho Cucamonga","CA","Honey Beer",2018
"640","Silver","Honey Comb Cream Ale","Rock Bottom Brewery - Pittsburgh","Denver","CO","Honey Beer",2018
"641","Bronze","Basil Better Have My Honey","Low Tide Brewing","Johns Island","SC","Honey Beer",2018
"642","Silver","Northern Lights","Moonraker Brewing Co. - Production Facility","Auburn","CA","Imperial India Pale Ale",2018
"643","Bronze","Unbridled Enthusiasm","Third Space Brewing","Milwaukee","WI","Imperial India Pale Ale",2018
"644","Gold","Happy Days","Claremont Craft Ales","Claremont","CA","Imperial Red Ale",2018
"645","Bronze","Cinder Beast","Sunriver Brewing","Sunriver","OR","Imperial Red Ale",2018
"646","Gold","Kill the Lights","The Tap Brewery","Bloomington","IN","Imperial Stout",2018
"647","Silver","The Shroud","Bravery Brewing","Lancaster","CA","Imperial Stout",2018
"648","Gold","Mai Tai P.A.","Alvarado Street Brewery & Grill","Monterey","CA","International-Style Pale Ale",2018
"649","Bronze","The Penske File","Faction Brewing Co.","Alameda","CA","International-Style Pale Ale",2018
"650","Gold","Wooden Teeth","Turtle Mountain Brewing Co.","Rio Rancho","NM","International-Style Pilsener",2018
"651","Silver","Nano - OG Lager","Market Garden Brewery","Cleveland","OH","International-Style Pilsener",2018
"652","Silver","TAPS Irish Red","TAPS Fish House and Brewery - Corona","Corona","CA","Irish-Style Red Ale",2018
"653","Gold","New England Style Double IPA","Black Market Brewing Co.","Temecula","CA","Juicy or Hazy Imperial or Double India Pale Ale",2018
"654","Silver","Color of Life","Corridor Brewery & Provisions","Chicago","IL","Juicy or Hazy Imperial or Double India Pale Ale",2018
"655","Gold","Le Jus","Alarmist Brewing","Chicago","IL","Juicy or Hazy India Pale Ale",2018
"656","Bronze","Foiken Haze","Eris Brewery and Cider House","Chicago","IL","Juicy or Hazy India Pale Ale",2018
"657","Gold","Voodoo","Tin Roof Brewing Co.","Baton Rouge","LA","Juicy or Hazy Pale Ale",2018
"658","Silver","Sippin on Dank 2.0","Kings Brewing Co.","Rancho Cucamonga","CA","Juicy or Hazy Pale Ale",2018
"659","Gold","Keller Pils","Summit Brewing Co.","St. Paul","MN","Kellerbier or Zwickelbier",2018
"660","Silver","STS Pils","Russian River Brewing Co. - Production","Santa Rosa","CA","Kellerbier or Zwickelbier",2018
"661","Bronze","NashZwickel","Nashville Brewing Co.","Nashville","TN","Kellerbier or Zwickelbier",2018
"662","Gold","Altitude Banquet","Altitude Chophouse and Brewery","Laramie","WY","Light Lager",2018
"663","Gold","Druif","pFriem Family Brewers","Hood River","OR","Mixed-Culture Brett Beer",2018
"664","Silver","Citra Dry Hopped Funk Yo Couch","Wiley Roots Brewing Co.","Greeley","CO","Mixed-Culture Brett Beer",2018
"665","Bronze","Coming to Fruition: Cherry","Oregon City Brewing Co.","Oregon City","OR","Mixed-Culture Brett Beer",2018
"666","Gold","Chuckanut Dunkel","Chuckanut - South Nut","Burlington","WA","Munich-Style Dunkel or European-Style Dark Lager",2018
"667","Gold","Hell Yes","The Austin Beer Garden Brewing Co.","Austin","TX","Munich-Style Helles",2018
"668","Silver","Chuckanut Helles","Chuckanut Brewery - North Nut","Bellingham","WA","Munich-Style Helles",2018
"669","Bronze","House Lager","Jack's Abby Brewing","Framingham","MA","Munich-Style Helles",2018
"670","Gold","Shoshone Stout","Glenwood Canyon Brewing Co.","Glenwood Springs","CO","Oatmeal Stout",2018
"671","Silver","Oats","Pizza Port Solana Beach","Solana Beach","CA","Oatmeal Stout",2018
"672","Bronze","Wall of Sound","Stereo Brewing Co.","Placentia","CA","Oatmeal Stout",2018
"673","Gold","Drunkard's Cloak","Banded Oak Brewing Co.","Denver","CO","Old Ale or Strong Ale",2018
"674","Silver","Old Scrooge","Silver City Brewery","Bremerton","WA","Old Ale or Strong Ale",2018
"675","Bronze","Rail Gun Wee Heavy","BNS Brewing & Distilling Co.","Santee","CA","Old Ale or Strong Ale",2018
"676","Silver","Copperline Amber Ale","Carolina Brewery - Chapel Hill","Pittsboro","NC","Ordinary or Special Bitter",2018
"677","Gold","Pour le Mineur","Corridor Brewery & Provisions","Chicago","IL","Other Belgian-Style Ale",2018
"678","Bronze","Red Devil","Printer's Ale Manufacturing Co.","Carrollton","GA","Other Belgian-Style Ale",2018
"679","Gold","Golden Prairie Doppel Alt","Argus Brewery","Chicago","IL","Other Strong Beer",2018
"680","Bronze","Lampshade Porter","Starr Brothers Brewing Co.","Albuquerque","NM","Other Strong Beer",2018
"681","Bronze","La Bomba","Cheluna Brewing Co.","Aurora","CO","Proam",2018
"682","Gold","Gordgeous","NoDa Brewing Co. - NE","Charlotte","NC","Pumpkin/Squash Beer or Pumpkin Spice Beer",2018
"683","Silver","Whole Hog Pumpkin Ale","Stevens Point Brewery","Stevens Point","WI","Pumpkin/Squash Beer or Pumpkin Spice Beer",2018
"684","Bronze","5 Phantoms Pumpkin Spice Barleywine","Philipsburg Brewing Co. - The Vault","Philipsburg","MT","Pumpkin/Squash Beer or Pumpkin Spice Beer",2018
"685","Gold","Lomporter","Lompoc Brewing - The 5th Quadrant","Portland","OR","Robust Porter",2018
"686","Silver","Porter","Founders Brewing Co.","Grand Rapids","MI","Robust Porter",2018
"687","Gold","Rye Dawn","Breakwater Brewing Co.","Oceanside","CA","Rye Beer",2018
"688","Silver","Unite the Clans","Third Space Brewing","Milwaukee","WI","Rye Beer",2018
"689","Gold","Real Heavy","Real Ale Brewing Co.","Blanco","TX","Scotch Ale",2018
"690","Silver","Skag","6th and La Brea","Los Angeles","CA","Scotch Ale",2018
"691","Gold","Taildragger Clan-Destine","Saddle Mountain Brewing Co.","Goodyear","AZ","Scottish-Style Ale",2018
"692","Silver","Saint Arnold Oktoberfest","Saint Arnold Brewing Co.","Houston","TX","Scottish-Style Ale",2018
"693","Bronze","It Takes a Tribe Red Ale","Goat Patch Brewing Co.","Colorado Springs","CO","Scottish-Style Ale",2018
"694","Gold","Natural Bridge: Vienna Lager","Eppig Brewing","San Diego","CA","Session Beer",2018
"695","Bronze","Stonefly Session Ale","Three Creeks Production","Sisters","OR","Session Beer",2018
"696","Gold","The Coachman","Societe Brewing Co.","San Diego","CA","Session India Pale Ale",2018
"697","Silver","Little Downtown Tom","Three Mile Brewing Co.","Davis","CA","Session India Pale Ale",2018
"698","Bronze","Mosaic Reprise","Little City Brewing Co.","Raleigh","NC","Session India Pale Ale",2018
"699","Gold","St. Chuck's Smoke","Rogue Ales Issaquah Brewhouse","Issaquah","WA","Smoke Beer",2018
"700","Silver","Pro-Pro Porter","Wormtown Brewery","Worcester","MA","Smoke Beer",2018
"701","Bronze","Raucher","Wolverine State Brewing Co.","Ann Arbor","MI","Smoke Beer",2018
"702","Gold","Civil Rest","Little Brother Brewing","Greensboro","NC","South German-Style Hefeweizen",2018
"703","Silver","Hoofer's Hef","Bankhead Brewing Co.","Rowlett","TX","South German-Style Hefeweizen",2018
"704","Bronze","Hefeweizen","Standard Deviant Brewing","San Francisco","CA","South German-Style Hefeweizen",2018
"705","Silver","Double Stack","Great Notion Brewing","Portland","OR","Specialty Beer",2018
"706","Bronze","I Did It All For The Cookie","FiftyFifty Brewing - Production Facility","Truckee","CA","Specialty Beer",2018
"707","Silver","Sunken City","Insight Brewing Co.","Minneapolis","MN","Specialty Saison",2018
"708","Bronze","Rustic Sunday","Birds Fly South Ale Project","Greenville","SC","Specialty Saison",2018
"709","Silver","Udder Love","Beachwood Brewing","Huntington Beach","CA","Sweet Stout or Cream Stout",2018
"710","Bronze","Melk Stout","Columbus Brewing Co.","Columbus","OH","Sweet Stout or Cream Stout",2018
"711","Gold","Oktoberfest","SKA Brewing","Durango","CO","Vienna-Style Lager",2018
"712","Silver","13.Five Ofest","Blue Mountain Barrel House and Organic Brewery","Arrington","VA","Vienna-Style Lager",2018
"713","Bronze","Vienna Lager","Grains of Wrath Brewing","Camas","WA","Vienna-Style Lager",2018
"714","Gold","Barrel Aged Japance Off","Denver Beer Co. - Olde Town Arvada","Arvada","CO","Wood- and Barrel-Aged Beer",2018
"715","Silver","Redrum","Duck Foot Brewing Co.","San Diego","CA","Wood- and Barrel-Aged Beer",2018
"716","Bronze","beWILDering C","Ten Pin Brewing Co.","Moses Lake","WA","Wood- and Barrel-Aged Beer",2018
"717","Gold","3 Barrel Circus","River Dog Brewing Co.","Bluffton","SC","Wood- and Barrel-Aged Sour Beer",2018
"718","Gold","Santa's Brass","Drake's Brewing Co.","San Leandro","CA","Wood- and Barrel-Aged Strong Beer",2018
"719","Silver","Willett Barrel-Aged Ye Old Sprinklerhead Barleywine","The Wrecking Bar Brewpub","Atlanta","GA","Wood- and Barrel-Aged Strong Beer",2018
"720","Bronze","Straight Jacket","Revolution Brewing","Chicago","IL","Wood- and Barrel-Aged Strong Beer",2018
"721","Gold","70K Amburana","Against the Grain Brewery","Louisville","KY","Wood- and Barrel-Aged Strong Stout",2018
"722","Gold","La Muerta","Freetail Brewing Co.","San Antonio","TX","Aged Beer",2017
"723","Silver","Solzhenitsyn","Iron Hill Brewery & Restaurant - Media","Media","PA","Aged Beer",2017
"724","Bronze","There is No Quad","The BottleHouse Brewery And Meadery","Cleveland","OH","Aged Beer",2017
"725","Gold","Saison Du Bois","Lynnwood Brewing Concern - Production Facility","Raleigh","NC","American-Belgo-Style Ale",2017
"726","Silver","Klipspringer","Metazoa Brewing Co.","Indianapolis","IN","American-Belgo-Style Ale",2017
"727","Bronze","5 & 20 IPA","Nedloh Brewing Co.","Bloomfield","NY","American-Belgo-Style Ale",2017
"728","Gold","Auburn Lager","Mad Anthony Brewing Co.","Fort Wayne","IN","American-Style Amber Lager",2017
"729","Bronze","RodE2=80=99s Steam Bitter","Second Street Brewery","Santa Fe","NM","American-Style Amber Lager",2017
"730","Gold","F-Town Amber","Copper Club Brewing Co.","Fruita","CO","American-Style Amber/Red Ale",2017
"731","Gold","Hoppa Emeritus","Beachwood BBQ & Brewing","Long Beach","CA","American-Style Black Ale",2017
"732","Bronze","Midnight Moonlight","Fat Head's Brewery","Middleburg Heights","OH","American-Style Black Ale",2017
"733","Bronze","Machine Gun Teddy","Goldwater Brewing Co.","Scottsdale","AZ","American-Style Brown Ale",2017
"734","Gold","Buckle Bunny","Eureka Heights Brewing Co.","Houston","TX","American-Style Cream Ale",2017
"735","Bronze","Artifexican","Artifex Brewing Co.","San Clemente","CA","American-Style Cream Ale",2017
"736","Gold","Razz Against the Machine","Little Machine","Denver","CO","American-Style Fruit Beer",2017
"737","Silver","The Mesa","Cismontane Brewing Co.","Santa Ana","CA","American-Style Fruit Beer",2017
"738","Bronze","Elvis Juice","BrewDog Brewing Co.","Canal Winchester","OH","American-Style Fruit Beer",2017
"739","Gold","Prairie Madness","Hailstorm Brewing Co.","Tinley Park","IL","American-Style India Pale Ale",2017
"740","Silver","Gold Digger IPA","Auburn Alehouse","Auburn","CA","American-Style India Pale Ale",2017
"741","Bronze","Breakside IPA","Breakside Brewery & Taproom","Milwaukie","OR","American-Style India Pale Ale",2017
"742","Gold","Mexican Lager","Lone Tree Brewing Co.","Lone Tree","CO","American-Style Lager or Malt Liquor",2017
"743","Silver","Pabst Blue Ribbon (PBR)","Pabst Brewing Co.","Los Angeles","CA","American-Style Lager or Malt Liquor",2017
"744","Bronze","Sun Grown Fresh Craft Lager","The Sycamore Brewing Cannery","Charlotte","NC","American-Style Lager or Malt Liquor",2017
"745","Gold","Monterey Street","Central Coast Brewing Co.","San Luis Obispo","CA","American-Style Pale Ale",2017
"746","Silver","Mosaic Pale Ale","Lynnwood Brewing Concern - Production Facility","Raleigh","NC","American-Style Pale Ale",2017
"747","Bronze","Triple Tail","SweetWater Brewing Co.","Atlanta","GA","American-Style Pale Ale",2017
"748","Gold","Rocket 100","The Austin Beer Garden Brewing Co.","Austin","TX","American-Style Pilsener or International-Style Pilsener",2017
"749","Silver","SesiC3=B3n Cerveza","Full Sail Brewing Co.","Hood River","OR","American-Style Pilsener or International-Style Pilsener",2017
"750","Bronze","Lemon Pils","Elk Horn Brewery","Eugene","OR","American-Style Pilsener or International-Style Pilsener",2017
"751","Silver","Disenchantment Blend #1","Bond Brothers Beer Co.","Cary","NC","American-Style Sour Ale",2017
"752","Gold","Cholo Stout","Marble Brewery - Mav Lab","Albuquerque","NM","American-Style Stout",2017
"753","Silver","American Stout","Wild Wolf Brewing Co.","Nellysford","VA","American-Style Stout",2017
"754","Gold","Hubert MPA","Melvin Brewing","Alpine","WY","American-Style Strong Pale Ale",2017
"755","Bronze","Breakside Stay West","Breakside Brewery + Beer Hall","Portland","OR","American-Style Strong Pale Ale",2017
"756","Gold","Sweet As Pacific Ale","GoodLife Brewing Co.","Bend","OR","American-Style Wheat Beer",2017
"757","Silver","Lemon Rye","105 West Brewing Co.","Castle Rock","CO","American-Style Wheat Beer",2017
"758","Bronze","Fieldhouse Wheat","Triton Brewing Co.","Indianapolis","IN","American-Style Wheat Beer",2017
"759","Silver","Miner's Gold Hefeweizen","Lewis & Clark Brewing Co.","Helena","MT","American-Style Wheat Beer With Yeast",2017
"760","Bronze","Wrangler Wheat","Figueroa Mountain Brewing - Santa Barbara","Santa Barbara","CA","American-Style Wheat Beer With Yeast",2017
"761","Gold","Triumvirate","Reuben's Brews Taproom","Seattle","WA","Australian-Style or International-Style Pale Ale",2017
"762","Silver","Pure Intention Pale Ale","HopSaint Brewing Co.","Torrance","CA","Australian-Style or International-Style Pale Ale",2017
"763","Gold","Public Enemy Baltic Porter","Dust Bowl Brewing Co.","Turlock","CA","Baltic-Style Porter",2017
"764","Silver","Herd Of Turtles","Bagby Beer Co.","Oceanside","CA","Baltic-Style Porter",2017
"765","Bronze","Powers of Observation","Ocelot Brewing Co.","Dulles","VA","Baltic-Style Porter",2017
"766","Gold","Shipfaced","Silver Harbor Brewing Co.","Saint Joseph","MI","Barley Wine-Style Ale",2017
"767","Silver","No. 20 Barleywine","The Freehouse","Minneapolis","MN","Barley Wine-Style Ale",2017
"768","Bronze","Behemoth","One Barrel Brewing Co.","Madison","WI","Barley Wine-Style Ale",2017
"769","Gold","Grisette Summer Ale","Sly Fox Brewing Co.","Pottstown","PA","Belgian- and French-Style Ale",2017
"770","Bronze","Working Title","Perennial Artisan Ales","Saint Louis","MO","Belgian- and French-Style Ale",2017
"771","Gold","Squatters Hell's Keep","Utah Brewers Cooperative","Salt Lake City","UT","Belgian-Style Blonde Ale or Pale Ale",2017
"772","Silver","Breton Blonde","Metazoa Brewing Co.","Indianapolis","IN","Belgian-Style Blonde Ale or Pale Ale",2017
"773","Bronze","Belgian Pale Ale","Redwood Curtain Brewing Co.","Arcata","CA","Belgian-Style Blonde Ale or Pale Ale",2017
"774","Bronze","Four Fat Baby","Hillman Beer","Asheville","NC","Belgian-Style Dubbel or Quadrupel",2017
"775","Gold","Blood Orange Wit","Refuge Brewery","Temecula","CA","Belgian-Style Fruit Beer",2017
"776","Silver","ZuurPruim","Logsdon Farmhouse Ales","Hood River","OR","Belgian-Style Fruit Beer",2017
"777","Bronze","Cherry Busey","Sun King Brewing Co.","Indianapolis","IN","Belgian-Style Fruit Beer",2017
"778","Gold","El Sur","Casa Agria Specialty Ales","Oxnard","CA","Belgian-Style Lambic or Sour Ale",2017
"779","Silver","Blended 2017","Side Project Brewing","Maplewood","MO","Belgian-Style Lambic or Sour Ale",2017
"780","Bronze","Drinking with Friends","Mraz Brewing Co.","El Dorado Hills","CA","Belgian-Style Lambic or Sour Ale",2017
"781","Gold","Amandus","Lazarus Brewing Co.","Austin","TX","Belgian-Style Strong Specialty Ale",2017
"782","Silver","It's Always Something","Peticolas Brewing Co.","Dallas","TX","Belgian-Style Strong Specialty Ale",2017
"783","Bronze","Smells Like Money","BearWaters Brewing Co.","Canton","NC","Belgian-Style Strong Specialty Ale",2017
"784","Gold","Tripel Dog Dare","Big Dog's Brewing Co.","Las Vegas","NV","Belgian-Style Tripel",2017
"785","Silver","Rapunzel","Corridor Brewery & Provisions","Chicago","IL","Belgian-Style Tripel",2017
"786","Bronze","Tripel Horse","River Horse Brewing Co.","Ewing","NJ","Belgian-Style Tripel",2017
"787","Gold","Wild Wacky Wit","Moon River Brewing Co.","Savannah","GA","Belgian-Style Witbier",2017
"788","Silver","Suntrip","New Terrain Brewing Co.","Golden","CO","Belgian-Style Witbier",2017
"789","Bronze","Witte Ale","Brewery Ommegang","Cooperstown","NY","Belgian-Style Witbier",2017
"790","Gold","Kalliope","Captain Fatty's","Goleta","CA","Berliner-Style Weisse",2017
