"","medal","beer_name","brewery","city","state","category","year"
"54","Silver","Fortune &amp; Glory","Precarious Beer Project - Precarious Beer Hall","Williamsburg","VA","Bohemian-Style Pilsener",2020
"55","Bronze","Tres Tres","Ocean Beach Brewery","San Diego","CA","Bohemian-Style Pilsener",2020
"56","Gold","Bottle Conditioned Day Drinker","Lost Forty Brewing","Little Rock","AR","Brett Beer",2020
"57","Bronze","Saison de Walt","Flix Brewhouse","Carmel","IN","Brett Beer",2020
"58","Gold","Brown Claw","Kern River Brewing Co.","Kernville","CA","Brown Porter",2020
"59","Bronze","Old Normal","Bend Brewing Co.","Bend","OR","Brown Porter",2020
"60","Silver","Poblano Pils","CervecerC3=ADa Colorado","Denver","CO","Chili Beer",2020
"61","Bronze","Hatch Chile Gatos","Fate Brewing Co.","Scottsdale","AZ","Chili Beer",2020
"62","Gold","Weapon of Mash Destruction","Main & Six Brewing Co.","Jacksonville","FL","Chocolate Beer",2020
"63","Bronze","Von Schrag","Mother's Brewing Co.","Springfield","MO","Chocolate Beer",2020
"64","Gold","Beyond the Gnome World","Silver Branch Brewing Co.","Silver Spring","MD","Classic Saison",2020
"65","Silver","Tomorrow's Verse","Urban Roots Brewing &amp; Smokehouse","Sacramento","CA","Classic Saison",2020
"66","Bronze","Meadowlark","Metazoa Brewing Co. - Taproom","Indianapolis","IN","Classic Saison",2020
"67","Gold","Daybreak","Wolf's Ridge Brewing - Production Operations","Columbus","OH","Coffee Beer",2020
"68","Silver","Golden Stout","Karl Strauss Brewing Co. - Anaheim","Anaheim","CA","Coffee Beer",2020
"69","Bronze","BJ's Coffee Blonde","BJ's Restaurant & Brewery - Reno","Reno","NV","Coffee Beer",2020
"70","Gold","Super Tonic","Docent Brewing","San Juan Capistrano","CA","Coffee Stout or Porter",2020
"71","Silver","The Riizzo","Riip Beer Co.","Huntington Beach","CA","Coffee Stout or Porter",2020
"72","Bronze","Venti is Large","Hop Dogma Brewing Co.","Half Moon Bay","CA","Coffee Stout or Porter",2020
"73","Gold","Cruise to Nowhere","Town Brewing Co.","Charlotte","NC","Contemporary Gose",2020
"74","Silver","Haole Punch","Alvarado Street Brewery & Grill","Monterey","CA","Contemporary Gose",2020
"75","Bronze","Steady As She Gose - P.O.G.","Big Ugly Brewing","Chesapeake","VA","Contemporary Gose",2020
"76","Silver","The Prince of DORTness","Quarter Celtic Brewpub","Albuquerque","NM","Dortmunder or German-Style Oktoberfest",2020
"77","Bronze","Funfest","Bootlegger's Brewery","Fullerton","CA","Dortmunder or German-Style Oktoberfest",2020
"78","Gold","Proper Beer","Proper Brewing Co.","Salt Lake City","UT","English Ale",2020
"79","Silver","Summer Lovin'","Blue Mountain Brewery","Afton","VA","English Ale",2020
"80","Bronze","Uncle Dave's","Discretion Brewing","Soquel","CA","English Ale",2020
"81","Gold","Deep Roots","Three Weavers Brewing Co.","Inglewood","CA","English Mild or Bitter",2020
"82","Silver","English Pale Mild Ale","Wallenpaupack Brewing Co.","Hawley","PA","English Mild or Bitter",2020
"83","Bronze","MSB (McFleshman's Special Bitter)","McFleshman's Brewing Co.","Appleton","WI","English Mild or Bitter",2020
"84","Gold","Get Up Offa That Brown","Golden Road Brewing","Anaheim","CA","English-Style Brown Ale",2020
"85","Silver","Bloodhound Brown Ale","Attic Brewing Co.","Philadelphia","PA","English-Style Brown Ale",2020
"86","Gold","Barrel Aged Coco PiC3=B1a","Coastal Empire Beer Co.","Savannah","GA","Experimental Beer",2020
"87","Silver","Choco Tuesday","Lone Pine Brewing Co. - Gorham Tasting Room","Gorham","ME","Experimental Beer",2020
"88","Bronze","Get Artistic","Creature Comforts Brewing Co.","Athens","GA","Experimental Beer",2020
"89","Gold","Pepper & Peaches","Claremont Craft Ales","Claremont","CA","Experimental India Pale Ale",2020
"90","Silver","Lazy Tiger","Lamplighter Brewing Co.","Cambridge","MA","Experimental India Pale Ale",2020
"91","Gold","Wicket Awesome","Eureka Heights Brew Co.","Houston","TX","Extra Special Bitter",2020
"92","Silver","Extra Special StormBreaker","StormBreaker Brewing","Portland","OR","Extra Special Bitter",2020
"93","Bronze","English Sporting Beer","Midwest Coast Brewing Co.","Chicago","IL","Extra Special Bitter",2020
"94","Gold","Lime Cucumber Gose","Urban South Brewery - New Orleans","New Orleans","LA","Field Beer",2020
"95","Silver","Coconut Bligh's Barleywine","Dry Dock Brewing Co.- North Dock","Aurora","CO","Field Beer",2020
"96","Gold","Conelick'r","Three Creeks Brewing Co.","Sisters","OR","Fresh Hop Beer",2020
"97","Bronze","Fresh Hop Hazealicious","Reuben's Brews - Production Brewery","Seattle","WA","Fresh Hop Beer",2020
"98","Gold","Liliko'i Kepolo","Avery Brewing Co.","Boulder","CO","Fruit Wheat Beer",2020
"99","Silver","Grandma's Favorite Recipe","Silver Harbor Brewing Co.","Saint Joseph","MI","Fruit Wheat Beer",2020
"100","Bronze","Afternoon Delight","Storm Peak Brewing Co.","Steamboat Springs","CO","Fruit Wheat Beer",2020
"101","Gold","Guava Dreams","Del Cielo Brewing Co.","Martinez","CA","Fruited American-Style Sour Ale",2020
"102","Bronze","Summer Sun","Stereo Brewing Co.","Placentia","CA","Fruited American-Style Sour Ale",2020
"103","Gold","The Many Lives of Our Lives","Big aLICe Brewing Co.","Long Island City","NY","Fruited Wood- and Barrel-Aged Sour Beer",2020
"104","Bronze","Cherry Busey","Sun King Brewery - Indianapolis","Indianapolis","IN","Fruited Wood- and Barrel-Aged Sour Beer",2020
"105","Gold","Maximilian","La Reforma","Albuquerque","NM","German Dark Lager",2020
"106","Silver","Dozer Line","Topa Topa Brewing Co.","Ventura","CA","German Dark Lager",2020
"107","Gold","Howitzer Amber","Red Leg Brewing Co.","Colorado Springs","CO","German-Style Altbier",2020
"108","Silver","Control ALT","Devil's Logic Brewing","Charlotte","NC","German-Style Altbier",2020
"109","Bronze","Altitude Alt","Altitude Chophouse & Brewery","Laramie","WY","German-Style Altbier",2020
"110","Gold","Agent Provocator","Clandestine Brewing","San Jose","CA","German-Style Doppelbock or Eisbock",2020
"111","Silver","Duck-Rabbit Duck-Rabbator","Duck-Rabbit Craft Brewery","Farmville","NC","German-Style Doppelbock or Eisbock",2020
"112","Bronze","Kolsch Money","Jack's Abby Craft Lagers","Framingham","MA","German-Style Koelsch",2020
"113","Gold","Amber's Lager-Amber Lager","Irwin Brewing Co.","Crested Butte","CO","German-Style Maerzen",2020
"114","Silver","White Rocktoberfest","White Rock Alehouse & Brewery","Dallas","TX","German-Style Maerzen",2020
"115","Bronze","Big Grove Oktoberfest","Big Grove Brewery","Iowa City","IA","German-Style Maerzen",2020
"116","Gold","Sprockets","Gravely Brewing Co.","Louisville","KY","German-Style Pilsener",2020
"117","Bronze","Pils","Kansas City Bier Co.","Kansas City","MO","German-Style Pilsener",2020
"118","Silver","Hefeweizen","Kansas City Bier Co.","Kansas City","MO","German-Style Wheat Ale",2020
"119","Bronze","Doc's Dunkel","Gravely Brewing Co.","Louisville","KY","German-Style Wheat Ale",2020
"120","Gold","Aurochs Hazy IPA","Aurochs Brewing Co.","Emsworth","PA","Gluten-Free Beer",2020
"121","Silver","1808","ALT Brew","Madison","WI","Gluten-Free Beer",2020
"122","Gold","Carolinian","Columbia Craft Brewing Co.","Columbia","SC","Golden or Blonde Ale",2020
"123","Bronze","Sunlight Cream Ale","Sun King Brewery - Indianapolis","Indianapolis","IN","Golden or Blonde Ale",2020
"124","Gold","Allergeez","Panther Island Brewing","Fort Worth","TX","Herb and Spice Beer",2020
"125","Bronze","Powder Run","Living the Dream Brewing Co.","Littleton","CO","Herb and Spice Beer",2020
"126","Gold","Decorah Nordic Gruit","PIVO Brewery","Calmar","IA","Historical Beer",2020
"127","Silver","Seedstock Gratzer","Seedstock Brewery","Denver","CO","Historical Beer",2020
"128","Bronze","Fr. Bernard's Grodziskie","New Magnolia Brewing Co.","Houston","TX","Historical Beer",2020
"129","Gold","Honey Please","Armadillo Ale Works","Denton","TX","Honey Beer",2020
"130","Silver","Tra La La","Grimm Artisanal Ales","Brooklyn","NY","Honey Beer",2020
"131","Gold","Hammerland DIPA","El Segundo Brewing Co.","El Segundo","CA","Imperial India Pale Ale",2020
"132","Silver","Double Cone","Alvarado Street Brewery & Tasting Room","Salinas","CA","Imperial India Pale Ale",2020
"133","Bronze","Freak of Nature Double IPA","Wicked Weed Brewing","Asheville","NC","Imperial India Pale Ale",2020
"134","Gold","The Snow","Community Beer Works","Buffalo","NY","Imperial Stout",2020
"135","Bronze","Stoutacus","Shoe Tree Brewing Co.","Carson City","NV","Imperial Stout",2020
"136","Gold","Baltic Porter","Skipping Rock Beer Co.","Staunton","VA","International Dark Lager",2020
"137","Silver","Murder Ballads","Noble Beast Brewing Co.","Cleveland","OH","International Dark Lager",2020
"138","Bronze","Public Enemy Baltic Porter","Dust Bowl Brewing Co.","Turlock","CA","International Dark Lager",2020
"139","Gold","Locals Only","Pizza Port Carlsbad","Carlsbad","CA","International Pale Ale",2020
"140","Silver","Carlsbad Crush","Burgeon Beer Co.","Carlsbad","CA","International Pale Ale",2020
"141","Bronze","Inner Light","Our Mutual Friend Brewing","Denver","CO","International Pale Ale",2020
"142","Gold","Japanese Lager","pFriem Family Brewers","Hood River","OR","International Pilsener",2020
"143","Silver","Rioveza","Kern River Brewing Co. - The Backyard","Kernville","CA","International Pilsener",2020
"144","Bronze","Little Wing","Horse Thief Hollow Brewing Co.","Chicago","IL","International Pilsener",2020
"145","Gold","Balefire Irish Red","Mirror Image Brewing Co.","Frederick","CO","Irish-Style Red Ale",2020
"146","Silver","Crimson Lass","Quarter Celtic Brewpub","Albuquerque","NM","Irish-Style Red Ale",2020
"147","Bronze","Vixen","Old Bust Head Brewing Co.","Vint Hill","VA","Irish-Style Red Ale",2020
"148","Gold","The Hopsplainer","Burke-Gilman Brewing Co.","Seattle","WA","Juicy or Hazy Imperial India Pale Ale",2020
"149","Silver","Not A Scientist","Cloudburst Brewing","Seattle","WA","Juicy or Hazy Imperial India Pale Ale",2020
"150","Gold","Spellbinder","Wren House Brewing Co.","Phoenix","AZ","Juicy or Hazy India Pale Ale",2020
"151","Silver","Yojo","Moonraker Brewing Co.","Auburn","CA","Juicy or Hazy India Pale Ale",2020
"152","Bronze","Wicked Pawesome","Metazoa Brewing Co. - Stringtown Production Facility","Indianapolis","IN","Juicy or Hazy India Pale Ale",2020
"153","Gold","Moon Haze","Blue Moon Brewing Co.","Denver","CO","Juicy or Hazy Pale Ale",2020
"154","Silver","Hazy L IPA","Bale Breaker Brewing Co.","Yakima","WA","Juicy or Hazy Pale Ale",2020
"155","Bronze","Mosaic Pale Ale","Random Row Brewing Co.","Charlottesville","VA","Juicy or Hazy Pale Ale",2020
"156","Gold","Goofy Boots","Penrose Brewing Co.","Geneva","IL","Juicy or Hazy Strong Pale Ale",2020
"157","Silver","Reuben's Crush","Reuben's Brews - The Taproom","Seattle","WA","Juicy or Hazy Strong Pale Ale",2020
"158","Gold","Safety Dance","Smartmouth Brewing Co.","Norfolk","VA","Kellerbier or Zwickelbier",2020
"159","Silver","Royal Bohemian Pilsner","Earth Rider Brewery","Superior","WI","Kellerbier or Zwickelbier",2020
"160","Bronze","TF Brewing Granary Keller Bier","Templin Family Brewing","Salt Lake City","UT","Kellerbier or Zwickelbier",2020
"161","Gold","Wander Litely","Wander Brewing","Bellingham","WA","Light Lager",2020
"162","Silver","Chuckanut Chuck Lite","Chuckanut Brewery - North Nut","Bellingham","WA","Light Lager",2020
"163","Bronze","Pachanga","Sun King Brewery - Indianapolis","Indianapolis","IN","Light Lager",2020
"164","Silver","D=C3=A9luge","Sanitas Brewing Co.","Boulder","CO","Mixed-Culture Brett Beer",2020
"165","Bronze","Gathering Red Currants & Peaches","Grimm Artisanal Ales","Brooklyn","NY","Mixed-Culture Brett Beer",2020
